"service_id","date","exception_type"
"GO401_121","20120514","1"
"GO401_121","20120515","1"
"GO401_121","20120516","1"
"GO401_121","20120517","1"
"GO401_121","20120518","1"
"GO401_121","20120521","1"
"GO401_121","20120522","1"
"GO401_121","20120523","1"
"GO401_121","20120524","1"
"GO401_121","20120525","1"
"GO401_121","20120528","1"
"GO401_121","20120529","1"
"GO401_121","20120530","1"
"GO401_121","20120531","1"
"GO401_121","20120601","1"
"GO401_121","20120604","1"
"GO401_121","20120605","1"
"GO401_121","20120606","1"
"GO401_121","20120607","1"
"GO401_121","20120608","1"
"GO401_121","20120611","1"
"GO401_121","20120612","1"
"GO401_121","20120613","1"
"GO401_121","20120614","1"
"GO401_121","20120615","1"
"GO401_121","20120618","1"
"GO401_121","20120619","1"
"GO401_121","20120620","1"
"GO401_121","20120621","1"
"GO401_121","20120622","1"
"GO401_121","20120625","1"
"GO401_121","20120626","1"
"GO401_121","20120627","1"
"GO401_121","20120628","1"
"GO401_121","20120629","1"
"GO401_121","20120702","1"
"GO401_121","20120703","1"
"GO401_121","20120704","1"
"GO401_121","20120705","1"
"GO401_121","20120706","1"
"GO401_121","20120709","1"
"GO401_121","20120710","1"
"GO401_121","20120711","1"
"GO401_121","20120712","1"
"GO401_121","20120713","1"
"GO401_121","20120716","1"
"GO401_121","20120717","1"
"GO401_121","20120718","1"
"GO401_121","20120719","1"
"GO401_121","20120720","1"
"GO401_121","20120723","1"
"GO401_121","20120724","1"
"GO401_121","20120725","1"
"GO401_121","20120726","1"
"GO401_121","20120727","1"
"GO401_121","20120730","1"
"GO401_121","20120731","1"
"GO401_121","20120801","1"
"GO401_121","20120802","1"
"GO401_121","20120803","1"
"GO401_121","20120806","1"
"GO401_121","20120807","1"
"GO401_121","20120808","1"
"GO401_121","20120809","1"
"GO401_121","20120810","1"
"GO401_121","20120813","1"
"GO401_121","20120814","1"
"GO401_121","20120815","1"
"GO401_121","20120816","1"
"GO401_121","20120817","1"
"GO401_121","20120820","1"
"GO401_121","20120821","1"
"GO401_121","20120822","1"
"GO401_121","20120823","1"
"GO401_121","20120824","1"
"GO401_121","20120827","1"
"GO401_121","20120828","1"
"GO401_121","20120829","1"
"GO401_121","20120830","1"
"GO401_121","20120831","1"
"GO401_121","20120903","1"
"GO401_122","20120519","1"
"GO401_122","20120520","1"
"GO401_122","20120526","1"
"GO401_122","20120527","1"
"GO401_122","20120602","1"
"GO401_122","20120603","1"
"GO401_122","20120609","1"
"GO401_122","20120610","1"
"GO401_122","20120616","1"
"GO401_122","20120617","1"
"GO401_122","20120623","1"
"GO401_122","20120624","1"
"GO401_122","20120630","1"
"GO401_122","20120701","1"
"GO401_122","20120707","1"
"GO401_122","20120708","1"
"GO401_122","20120714","1"
"GO401_122","20120715","1"
"GO401_122","20120721","1"
"GO401_122","20120722","1"
"GO401_122","20120728","1"
"GO401_122","20120729","1"
"GO401_122","20120804","1"
"GO401_122","20120805","1"
"GO401_122","20120811","1"
"GO401_122","20120812","1"
"GO401_122","20120818","1"
"GO401_122","20120819","1"
"GO401_122","20120825","1"
"GO401_122","20120826","1"
"GO401_122","20120901","1"
"GO401_122","20120902","1"
"GO401_123","20120519","1"
"GO401_123","20120526","1"
"GO401_123","20120602","1"
"GO401_123","20120609","1"
"GO401_123","20120616","1"
"GO401_123","20120623","1"
"GO401_123","20120630","1"
"GO401_123","20120707","1"
"GO401_123","20120714","1"
"GO401_123","20120721","1"
"GO401_123","20120728","1"
"GO401_123","20120804","1"
"GO401_123","20120811","1"
"GO401_123","20120818","1"
"GO401_123","20120825","1"
"GO401_123","20120901","1"
"GO401_124","20120525","1"
"GO401_124","20120703","1"
"GO401_124","20120831","1"
"GO401_125","20120514","1"
"GO401_125","20120515","1"
"GO401_125","20120516","1"
"GO401_125","20120517","1"
"GO401_125","20120518","1"
"GO401_125","20120521","1"
"GO401_125","20120522","1"
"GO401_125","20120523","1"
"GO401_125","20120524","1"
"GO401_125","20120525","1"
"GO401_125","20120528","1"
"GO401_125","20120529","1"
"GO401_125","20120530","1"
"GO401_125","20120531","1"
"GO401_125","20120601","1"
"GO401_125","20120604","1"
"GO401_125","20120605","1"
"GO401_125","20120606","1"
"GO401_125","20120607","1"
"GO401_125","20120608","1"
"GO401_125","20120611","1"
"GO401_125","20120612","1"
"GO401_125","20120613","1"
"GO401_125","20120614","1"
"GO401_125","20120615","1"
"GO401_125","20120618","1"
"GO401_125","20120619","1"
"GO401_125","20120620","1"
"GO401_125","20120621","1"
"GO401_125","20120622","1"
"GO401_125","20120625","1"
"GO401_125","20120626","1"
"GO401_125","20120627","1"
"GO401_125","20120628","1"
"GO401_125","20120629","1"
